,sensibilidad,especificidad,precision,f1,exactitud
SVM lineal (RFE+LinearSVC),0.864864864864859,0.9825312151943256,0.07911001236093938,0.14496036240075227,0.9823273995529184
k-NN (RFE+LR),0.8243243243243188,0.9903276862653145,0.1288278775079196,0.2228310502280763,0.9900401437215454
Árbol (RFE+Árbol),0.7972972972972919,0.995029016941204,0.2177121771217708,0.34202898550690836,0.9946865161569701
Random Forest (RFE+RF),0.7905405405405352,0.9977255407702679,0.3762057877813492,0.5098039215681883,0.9973666654962958
